Temp,Flame,MQ2,HaveFire
27.37,160,356,0
27.37,147,269,0
27.37,146,114,0
27.37,224,8,0
33.24,774,157,0
29.81,834,94,0
21.51,889,35,0
26.39,903,20,0
22.48,901,6,0
21.99,902,121,0
23.95,807,190,0
25.90,345,281,0
26.39,464,464,0
26.88,298,345,0
25.90,311,362,0
27.86,166,391,0
27.86,69,458,0
27.86,69,413,0
27.86,69,440,0
28.35,72,428,0
28.35,72,434,0
28.35,71,432,0
28.84,70,375,0
28.84,70,327,0
28.84,68,367,0
29.33,71,213,0
26.88,403,159,0
28.35,423,72,0
29.81,378,111,0
28.35,361,98,0
30.30,359,100,0
27.86,357,73,0
29.81,364,69,0
28.84,387,160,0
30.79,391,56,0
28.35,376,34,0
28.84,398,100,0
28.35,795,222,0
30.30,943,120,0
30.30,957,107,0
28.84,971,177,0
25.42,969,213,0
42.52,967,275,0
24.44,967,359,0
43.01,968,467,0
23.95,969,511,0
37.15,971,581,0
34.21,970,606,0
24.44,971,642,0
44.97,970,664,0
44.97,970,647,0
30.30,970,654,0
45.94,972,618,0
30.30,976,546,0
35.19,981,465,0
47.41,918,376,0
30.79,396,178,0
30.30,384,175,0
28.35,381,128,0
28.35,362,180,0
28.35,352,130,0
30.79,395,115,0
26.88,462,210,0
31.77,501,177,0
26.88,453,94,0
29.81,198,32,0
30.30,351,6,0
30.79,408,46,0
27.37,450,1,0
27.86,451,20,0
31.28,449,56,0
29.33,444,84,0
28.35,454,175,0
31.28,467,160,0
27.37,431,155,0
28.35,389,173,0
27.86,376,228,0
26.88,461,307,0
31.28,459,362,0
29.33,453,405,0
31.28,459,646,0
31.77,475,585,0
31.77,482,453,0
27.37,470,457,0
26.88,497,645,0
30.30,487,651,0
29.33,397,661,0
30.79,160,549,0
31.28,76,363,0
30.79,71,527,0
30.79,72,389,0
30.79,71,278,0
30.79,70,227,0
30.79,70,174,0
30.79,69,126,0
31.28,412,109,0
28.84,366,47,0
29.33,334,103,0
30.30,188,9,0
30.30,145,109,0
30.30,130,349,0
30.30,128,336,0
30.30,128,332,0
