Temp,Flame,MQ2,HaveFire
31.28,49,231,1
31.28,50,196,1
31.28,49,208,1
31.28,49,179,1
31.77,49,169,1
31.77,48,158,1
31.77,49,151,1
31.77,50,153,1
32.26,50,143,1
32.26,50,139,1
32.26,49,127,1
32.26,50,130,1
32.26,50,81,1
32.26,52,116,1
32.26,51,218,1
32.26,51,227,1
32.26,51,126,1
32.26,52,269,1
32.26,51,189,1
31.77,51,128,1
31.77,52,170,1
31.77,51,125,1
31.77,51,82,1
31.77,52,14,1
31.28,51,109,1
31.28,51,175,1
31.28,52,136,1
31.28,50,126,1
31.28,54,152,1
31.28,49,149,1
30.79,53,117,1
30.79,52,13,1
30.79,53,67,1
30.79,53,56,1
30.79,50,74,1
30.79,51,88,1
30.79,50,90,1
30.30,51,91,1
30.30,51,119,1
30.30,52,171,1
30.30,52,168,1
30.30,51,134,1
30.30,51,52,1
29.81,51,72,1
30.30,51,96,1
30.30,51,100,1
30.30,51,110,1
29.81,51,117,1
29.81,50,126,1
29.81,51,132,1
29.81,52,141,1
29.81,51,150,1
29.81,51,161,1
29.81,51,195,1
29.81,50,192,1
29.81,50,188,1
29.81,51,268,1
29.33,51,267,1
29.81,51,203,1
29.81,51,350,1
29.81,50,388,1
29.81,52,351,1
29.81,49,350,1
29.81,50,317,1
29.33,52,340,1
29.33,51,342,1
29.33,49,347,1
29.33,50,344,1
29.33,47,334,1
29.33,47,307,1
29.33,48,308,1
29.33,49,280,1
29.33,50,558,1
29.33,50,356,1
29.33,58,356,1
29.33,67,283,1
27.37,325,203,1
29.33,208,221,1
29.33,135,231,1
29.33,137,397,1
28.84,140,434,1
28.84,143,370,1
28.84,138,333,1
29.33,147,310,1
28.84,144,250,1
28.84,143,226,1
28.84,147,195,1
28.84,147,173,1
28.84,147,170,1
28.84,150,151,1
28.84,150,131,1
28.84,152,132,1
28.84,151,146,1
28.84,150,130,1
28.84,148,110,1
28.84,149,58,1
28.84,146,158,1
28.84,151,144,1
28.84,77,285,1
28.84,77,212,1
28.84,77,149,1
28.84,78,111,1
28.84,77,105,1
28.84,77,83,1
28.84,77,64,1
28.84,78,71,1
28.84,78,78,1
28.84,78,86,1
28.84,77,74,1
28.84,78,120,1
28.84,78,105,1
28.35,77,87,1
28.84,78,82,1
28.84,78,101,1
28.84,77,112,1
28.84,78,124,1
28.84,80,165,1
28.35,79,202,1
28.84,79,171,1
28.35,79,136,1
28.35,79,168,1
28.84,78,207,1
28.84,79,236,1
28.35,77,264,1
28.35,77,295,1
28.35,89,283,1
28.35,79,291,1
28.35,76,366,1
28.35,76,330,1
28.35,77,273,1
28.35,77,268,1
28.35,78,337,1
28.35,78,412,1
28.35,78,353,1
